ID,Accession Number,Collection Name,COLOR,Height_Value,Length_Value,Width_Value,cm,Weight_Value,g,Description,Place1,Place2,Place3,Place4,Place5,Place6,Place7,Place8,E4Period,Period2,Period3,Period4,IMG,TimeSpan
777,2002.2,,,,,,,,,,Corinth,Greece,Europe,,,,,,Ancient Greek,,,,//live.staticflickr.com/7024/6764941589_4e5566243b.jpg,650BC
76,L.7414.a,"Vertebrate Palaeontology
Cave Material",,37,24,9,,6500,,"37x24x9cm, 6500g",,,,,,,,, Pleistocene,Quaternary,,,,
72,LL.11885,Living Worlds Gallery,,30,15,15,,500,,"Approx 30x15x15cm, approx 500g.",Pin Hole Cave,Creswell Crags,Derbyshire,England,,,,, Pleistocene,Quaternary,,,,
71,LL.11886,Fossil Gallery,,30,15,15,,500,,"Approx 30x15x15cm, approx 500g",Pin Hole Cave,Creswell Crags,Derbyshire,England,,,,, Pleistocene,Quaternary,,,,
68,LL.1593,"Type & Figured
Cave material",,,,,,,,"Etched bone pendant ""Bull-roarer""",,,,,,,,, Pleistocene,Quaternary,,,,
79,L.3312.a-d,"Invertebrate Palaeontology
Porifera",,,,,,,,,Biddenden,Bedfordshire,England,,,,,,Chalk,Upper Cretaceous,Cretaceous,,,
74,LL.11837,"Invertebrate Palaeontology
Cephalopoda",,8,1,,,150,,"D:8x1cm, 150g",Whitby,North Yorkshire,England,,,,,,Lias,Upper Lias,Lower Jurassic,Jurassic,,
69,LL.15927.3654,"Invertebrate Palaeontology
Bivalvia",,7,4,5,,150,,"5 intotal. ave  7x4x5cm, ave 150g",,,,,,,,,Lias,Lower Jurassic,,,,
73,LL.11870,"Vertebrate Palaeontology
Fish",,14,8,3,,219,,"14x8x3cm, 219g",,,,,,,,,Miocene,Neogene,,Malta,,
70,LL.15780.2,"Vertebrate Palaeontology
Cave Material",,21,11,3.5,,200,,"21x11x3.5cm, 200g",,,,,,,,,Quaternary,,,,,
75,L.909,"Vertebrate Palaeontology
Mammals",,33,17,74,,1200,,"33x17x74cm, 1200g",,,,,,,,,Tertiary,,,,,
774,,,,2.2,20,13,,274.2,,Copy of the Weirdstone of Brisingamen,,,,,,,,,,,,,,
773,0.1867,,,,15.5,9,,188,,stone axe or hammer in fragmentary wooden handle, Switzerland,Europe,,,,,,,,,,,,
772,0.3603,,,2.3,12,8.5,,65,,Carbonised grain, Fifield Bavant, Wiltshire, England,Europe,,,,,,,,,,
771,0.4494,,,1.5,10,8.5,,58,,Small forms of broad bean (?),,,,,,,,,,,,,,
770,0.6115,,,0.7,16.9,6.1,,85.5,,Slate object - shaped like a blade, Deansgate, Manchester, Greater Manchester, United Kingdom,Europe,,,,,,,,,
769,0.6171,Pacific Collection,,10,61,32,,1430,,"Stone bladed adze. The haft is a natural crook, the shorter arm of which has a short sleeve of basketwork that holds the blade of the adze. This is a close-grained, dark grey stone, apparently a pebble that has been ground and polished.",,,,,,,,,,,,,,
768,0.918,,,81,155,92,,243,,"Two twisted gold coiled armbands, bracelets or armillae.", Malpas, Cheshire, England,Europe,,,,,,,,,,
767,0.9194,,,,,,,39,,"Gold torc.The torc is made of two strands of twisted gold wire continuing to form circular terminals. 

It dates from the 2nd century BC or possibly 1st century AD.  We purchased it at auction from Sotheby's in April 1960. I believe there was a contribution from the National Art Collections Fund to meet the auction price.

My file notes provide the following details: - the torc has been sampled metallurgically giving the average composition as 67.54% gold; 29.98% silver; 0.49% copper & 0.07% iron. There were just detectable traces of lead and possibly cobalt. This appears to have been an unrefined gold with no alloying additions. Some of the simple wire torcs from the Snettisham hoard are comparable. The presumed source of the Snettisham group is Gallo-Belgic coinage, starting with Gallo-Belgic A coins. The composition is at one end for the range and by the time the coinage had reached 70% gold alloying with copper had started. Metallurgically this appears to be a bit unusual though stylistically it is close to the simpler Snettisham pieces. 

I have a note of it appearing in Whitaker's History of Manchester (1872) and in Bernard Barnes' Man and the Changing Landscape (Liverpool, 1982).", Holme, Burnley, Lancashire, England, United Kingdom,Europe,,,,,,,,
766,218,,,5.3,22.3,16.5,,,,"Square block of fired clay, used as a mould for casting copper knives. Impressions for the knives are cut into one side of the block, and coated with clay and fine ash.", Kahun (el-Lahun), Faiyum, Egypt,Africa,,,,,,,,,,
765,219,,,,20,9.7,,,,Mould for casting a chisel., Kahun (el-Lahun), Faiyum, Egypt,Africa,,,,,,,,,,
764,659,,,10.5,,12,,,,"Blue faience vase with a narrow neck and two handles, decorated with ducks hanging upside down.", Gurob (Kom Medinet Ghurab), Faiyum, Egypt,Africa,,,,,,,,,,
763,717,,red,,,13,,,,"Pottery vase of Mycenaean ware, made in mainland Greece and imported to Egypt. The vase has a flat ring base and a rounded body, which is closed except for the neck set off-centre on top of the vase. The neck in the centre of the top of the vase is decorative, not functional -- it does not have an opening. Two handles extend from the top of the central neck to the top of the vase. The vase is decorated with red stripes or bands around the body, although the decoration is obscured by the blackened surface, probably from exposure to smoke or fire.

This type of vase is known as a 'stirrup jar', after the shape of handles; it also used to be called a 'false neck' type, since the central 'neck', where the handles attach, is closed and could not be used. These vases were used to transport valuable liquids, like olive oil.", Gurob (Kom Medinet Ghurab), Faiyum, Egypt,Africa,,,,,,,,,,
762,1290,,,4.7,,2.2,,,,Fragments of ribbed ivory inlay., Abydos, Upper Egypt, Egypt,Africa,,,,,,,,,,
761,1364,,,22,,14,,0.89,,"Wooden face from a coffin, with traces of paint. The eyes were originally inlaid, but are now lost.", Abydos, Upper Egypt, Egypt,Africa,,,,,,,,,,
760,1547,,,,42.7,,,,,"String of yellow glass and green coloured faience beads, with six bronze ankh-sign pendants.", Gurob (Kom Medinet Ghurab), Faiyum, Egypt,Africa,,,,,,,,,,
759,1554,,,30,,23.5,,,,"Limestone stela with a rounded top; divided into two scenes. The upper scene depicts the sacred boat of the sun-god Re. In the lower scene, a man named Ptah-hesy sits in a fine chair, with a footrest under his feet and a sealed jar under the chair. He is identified as an 'excellent spirit of Re', which was an expression for honouring some dead people. Ptah-hesy holds an ankh in his right hand and holds a lotus to his nose, with his right hand.

To the right of Ptah-hesy is another man, Pen-renut, who dedicated the stela. Pen-renut was an official in the temple known as the Ramesseum, and he holds his hands out towards Ptah-hesy in a gesture of prayer or adoration.

There are traces of red, yellow, blue, and black paint on the carved surface.", Thebes: West Bank, Upper Egypt, Egypt,Africa,,,,,,,,,,
758,1654,,,,28.8,,,,,"String of 31 carnelian, calcite (?), and amethyst beads, together with one carnelian pendant and a faience scarab with a geometric design on the bottom.", Dendera, Upper Egypt, Egypt,Africa,,,,,,,,,,
757,1659,,,,19.2,,,,,"String of 35 amethyst, carnelian, garnet, and green coloured faience beads, together with one amethyst scarab, and  one green coloured faience pendant in the form of a falcon.",,,,,,,,,,,,,,
756,1661,,,,13.4,,,,,String of 58 gold and carnelian beads., Dendera, Upper Egypt, Egypt,Africa,,,,,,,,,,
755,1677,,,,87,,,,,String of 777 blue and black colour faience beads and carnelian beads., Diospolis Parva (Hiw), Upper Egypt, Egypt,Africa,,,,,,,,,,
